Date,Views,Clicks,Conversions,CostPerAd,CTR,ConversionRate,CPC,Platform,CostPerConversion,Month
2023-01-16,1182,31,13,216,2.62,41.94,6.97,Facebook,16.62,January 2023
2023-01-17,2621,30,15,81,1.14,50.0,2.7,Facebook,5.4,January 2023
2023-01-19,2334,55,19,241,2.36,34.55,4.38,Facebook,12.68,January 2023
2023-01-20,2040,44,18,206,2.16,40.91,4.68,Facebook,11.44,January 2023
2023-01-21,3262,72,13,212,2.21,18.06,2.94,Facebook,16.31,January 2023
2023-01-21,2308,43,9,168,1.86,20.93,3.91,Facebook,18.67,January 2023
2023-01-24,1075,25,11,166,2.33,44.0,6.64,Facebook,15.09,January 2023
2023-01-24,3133,30,10,190,0.96,33.33,6.33,Facebook,19.0,January 2023
2023-01-24,1415,65,13,68,4.59,20.0,1.05,Facebook,5.23,January 2023
2023-01-25,2838,67,14,225,2.36,20.9,3.36,Facebook,16.07,January 2023
2023-01-25,2004,54,8,244,2.69,14.81,4.52,Facebook,30.5,January 2023
2023-01-26,2344,54,13,110,2.3,24.07,2.04,Facebook,8.46,January 2023
2023-01-28,2262,23,13,127,1.02,56.52,5.52,Facebook,9.77,January 2023
2023-01-29,1395,66,12,103,4.73,18.18,1.56,Facebook,8.58,January 2023
2023-01-30,2687,47,8,173,1.75,17.02,3.68,Facebook,21.62,January 2023
2023-01-30,2569,30,7,233,1.17,23.33,7.77,Facebook,33.29,January 2023
2023-02-01,1489,54,19,222,3.63,35.19,4.11,Facebook,11.68,February 2023
2023-02-01,2600,39,9,116,1.5,23.08,2.97,Facebook,12.89,February 2023
2023-02-01,1562,18,9,200,1.15,50.0,11.11,Facebook,22.22,February 2023
2023-02-03,3274,57,6,232,1.74,10.53,4.07,Facebook,38.67,February 2023
2023-02-03,1739,59,8,134,3.39,13.56,2.27,Facebook,16.75,February 2023
2023-02-05,1334,29,16,100,2.17,55.17,3.45,Facebook,6.25,February 2023
2023-02-06,3267,66,17,156,2.02,25.76,2.36,Facebook,9.18,February 2023
2023-02-06,2447,66,9,114,2.7,13.64,1.73,Facebook,12.67,February 2023
2023-02-06,2947,72,5,167,2.44,6.94,2.32,Facebook,33.4,February 2023
2023-02-07,1401,21,17,151,1.5,80.95,7.19,Facebook,8.88,February 2023
2023-02-07,1700,66,19,168,3.88,28.79,2.55,Facebook,8.84,February 2023
2023-02-08,2812,23,15,249,0.82,65.22,10.83,Facebook,16.6,February 2023
2023-02-08,2785,36,16,179,1.29,44.44,4.97,Facebook,11.19,February 2023
2023-02-11,1702,15,17,104,0.88,113.33,6.93,Facebook,6.12,February 2023
2023-02-13,3180,70,12,230,2.2,17.14,3.29,Facebook,19.17,February 2023
2023-02-13,3224,61,5,101,1.89,8.2,1.66,Facebook,20.2,February 2023
2023-02-14,3110,43,12,188,1.38,27.91,4.37,Facebook,15.67,February 2023
2023-02-15,2782,38,19,223,1.37,50.0,5.87,Facebook,11.74,February 2023
2023-02-15,2739,15,13,222,0.55,86.67,14.8,Facebook,17.08,February 2023
2023-02-16,1622,66,11,171,4.07,16.67,2.59,Facebook,15.55,February 2023
2023-02-16,1280,17,14,211,1.33,82.35,12.41,Facebook,15.07,February 2023
2023-02-17,2053,44,9,123,2.14,20.45,2.8,Facebook,13.67,February 2023
2023-02-17,1156,38,5,181,3.29,13.16,4.76,Facebook,36.2,February 2023
2023-02-17,2965,73,8,211,2.46,10.96,2.89,Facebook,26.38,February 2023
2023-02-18,1071,60,13,93,5.6,21.67,1.55,Facebook,7.15,February 2023
2023-02-19,2158,68,5,243,3.15,7.35,3.57,Facebook,48.6,February 2023
2023-02-20,1829,20,7,102,1.09,35.0,5.1,Facebook,14.57,February 2023
2023-02-22,2646,34,18,166,1.28,52.94,4.88,Facebook,9.22,February 2023
2023-02-23,1593,61,12,80,3.83,19.67,1.31,Facebook,6.67,February 2023
2023-02-23,2798,28,16,177,1.0,57.14,6.32,Facebook,11.06,February 2023
2023-02-24,1439,36,19,72,2.5,52.78,2.0,Facebook,3.79,February 2023
2023-02-26,3074,41,12,135,1.33,29.27,3.29,Facebook,11.25,February 2023
2023-03-01,1659,70,13,219,4.22,18.57,3.13,Facebook,16.85,March 2023
2023-03-02,2131,50,8,117,2.35,16.0,2.34,Facebook,14.62,March 2023
2023-03-03,1739,32,18,204,1.84,56.25,6.38,Facebook,11.33,March 2023
2023-03-03,2109,57,15,123,2.7,26.32,2.16,Facebook,8.2,March 2023
2023-03-03,2578,58,18,174,2.25,31.03,3.0,Facebook,9.67,March 2023
2023-03-05,2056,63,9,149,3.06,14.29,2.37,Facebook,16.56,March 2023
2023-03-07,2891,51,8,89,1.76,15.69,1.75,Facebook,11.12,March 2023
2023-03-08,3096,22,8,239,0.71,36.36,10.86,Facebook,29.88,March 2023
2023-03-09,1527,40,14,110,2.62,35.0,2.75,Facebook,7.86,March 2023
2023-03-11,1977,23,12,71,1.16,52.17,3.09,Facebook,5.92,March 2023
2023-03-13,1432,63,10,247,4.4,15.87,3.92,Facebook,24.7,March 2023
2023-03-13,2896,56,14,100,1.93,25.0,1.79,Facebook,7.14,March 2023
2023-03-14,1522,71,11,231,4.66,15.49,3.25,Facebook,21.0,March 2023
2023-03-15,2529,55,18,103,2.17,32.73,1.87,Facebook,5.72,March 2023
2023-03-16,1252,60,6,81,4.79,10.0,1.35,Facebook,13.5,March 2023
2023-03-18,2779,41,5,91,1.48,12.2,2.22,Facebook,18.2,March 2023
2023-03-18,3160,56,14,137,1.77,25.0,2.45,Facebook,9.79,March 2023
2023-03-22,3207,55,9,228,1.71,16.36,4.15,Facebook,25.33,March 2023
2023-03-24,3039,22,10,239,0.72,45.45,10.86,Facebook,23.9,March 2023
2023-03-24,1979,41,15,96,2.07,36.59,2.34,Facebook,6.4,March 2023
2023-03-25,3020,19,15,188,0.63,78.95,9.89,Facebook,12.53,March 2023
2023-03-27,1153,30,5,170,2.6,16.67,5.67,Facebook,34.0,March 2023
2023-03-27,3066,33,17,80,1.08,51.52,2.42,Facebook,4.71,March 2023
2023-03-28,1913,62,19,196,3.24,30.65,3.16,Facebook,10.32,March 2023
2023-03-29,1064,67,7,218,6.3,10.45,3.25,Facebook,31.14,March 2023
2023-03-29,1769,56,12,60,3.17,21.43,1.07,Facebook,5.0,March 2023
2023-04-02,1951,59,9,196,3.02,15.25,3.32,Facebook,21.78,April 2023
2023-04-03,1997,40,8,235,2.0,20.0,5.88,Facebook,29.38,April 2023
2023-04-04,1790,15,10,226,0.84,66.67,15.07,Facebook,22.6,April 2023
2023-04-05,2874,49,12,106,1.7,24.49,2.16,Facebook,8.83,April 2023
2023-04-08,1520,38,14,118,2.5,36.84,3.11,Facebook,8.43,April 2023
2023-04-10,1806,45,12,177,2.49,26.67,3.93,Facebook,14.75,April 2023
2023-04-11,2683,59,8,162,2.2,13.56,2.75,Facebook,20.25,April 2023
2023-04-12,2681,51,17,235,1.9,33.33,4.61,Facebook,13.82,April 2023
2023-04-12,1211,20,6,66,1.65,30.0,3.3,Facebook,11.0,April 2023
2023-04-15,1963,31,17,177,1.58,54.84,5.71,Facebook,10.41,April 2023
2023-04-18,2078,23,13,154,1.11,56.52,6.7,Facebook,11.85,April 2023
2023-04-21,1200,67,19,107,5.58,28.36,1.6,Facebook,5.63,April 2023
2023-04-22,1517,23,18,241,1.52,78.26,10.48,Facebook,13.39,April 2023
2023-04-22,1611,21,13,184,1.3,61.9,8.76,Facebook,14.15,April 2023
2023-04-23,2856,59,5,110,2.07,8.47,1.86,Facebook,22.0,April 2023
2023-04-24,3295,48,19,206,1.46,39.58,4.29,Facebook,10.84,April 2023
2023-04-24,3038,44,7,80,1.45,15.91,1.82,Facebook,11.43,April 2023
2023-04-24,1594,71,13,104,4.45,18.31,1.46,Facebook,8.0,April 2023
2023-04-25,3263,71,16,121,2.18,22.54,1.7,Facebook,7.56,April 2023
2023-04-25,2064,18,15,152,0.87,83.33,8.44,Facebook,10.13,April 2023
2023-04-26,1594,53,12,219,3.32,22.64,4.13,Facebook,18.25,April 2023
2023-04-26,2979,58,7,135,1.95,12.07,2.33,Facebook,19.29,April 2023
2023-04-27,3068,37,9,167,1.21,24.32,4.51,Facebook,18.56,April 2023
2023-04-28,1854,28,10,197,1.51,35.71,7.04,Facebook,19.7,April 2023
2023-04-28,2742,58,13,181,2.12,22.41,3.12,Facebook,13.92,April 2023
2023-04-30,3292,55,13,183,1.67,23.64,3.33,Facebook,14.08,April 2023
2023-05-03,2489,70,14,161,2.81,20.0,2.3,Facebook,11.5,May 2023
2023-05-04,1182,40,14,186,3.38,35.0,4.65,Facebook,13.29,May 2023
2023-05-04,3063,41,9,215,1.34,21.95,5.24,Facebook,23.89,May 2023
2023-05-06,3081,61,8,68,1.98,13.11,1.11,Facebook,8.5,May 2023
2023-05-06,2040,37,7,90,1.81,18.92,2.43,Facebook,12.86,May 2023
2023-05-06,1141,31,6,223,2.72,19.35,7.19,Facebook,37.17,May 2023
2023-05-07,2912,52,16,198,1.79,30.77,3.81,Facebook,12.38,May 2023
2023-05-07,1892,60,10,197,3.17,16.67,3.28,Facebook,19.7,May 2023
2023-05-07,1210,19,15,174,1.57,78.95,9.16,Facebook,11.6,May 2023
2023-05-07,1948,51,14,139,2.62,27.45,2.73,Facebook,9.93,May 2023
2023-05-08,1752,17,15,138,0.97,88.24,8.12,Facebook,9.2,May 2023
2023-05-08,1216,38,5,228,3.12,13.16,6.0,Facebook,45.6,May 2023
2023-05-09,3280,33,9,131,1.01,27.27,3.97,Facebook,14.56,May 2023
2023-05-09,3159,73,5,116,2.31,6.85,1.59,Facebook,23.2,May 2023
2023-05-10,2378,18,13,141,0.76,72.22,7.83,Facebook,10.85,May 2023
2023-05-13,2002,55,14,234,2.75,25.45,4.25,Facebook,16.71,May 2023
2023-05-14,2056,21,17,87,1.02,80.95,4.14,Facebook,5.12,May 2023
2023-05-14,2846,50,15,174,1.76,30.0,3.48,Facebook,11.6,May 2023
2023-05-16,1713,21,9,135,1.23,42.86,6.43,Facebook,15.0,May 2023
2023-05-18,1925,72,17,128,3.74,23.61,1.78,Facebook,7.53,May 2023
2023-05-18,2774,52,12,92,1.87,23.08,1.77,Facebook,7.67,May 2023
2023-05-18,2638,52,12,225,1.97,23.08,4.33,Facebook,18.75,May 2023
2023-05-19,2876,68,8,220,2.36,11.76,3.24,Facebook,27.5,May 2023
2023-05-21,1936,35,9,65,1.81,25.71,1.86,Facebook,7.22,May 2023
2023-05-24,1122,41,7,137,3.65,17.07,3.34,Facebook,19.57,May 2023
2023-05-27,2228,23,16,221,1.03,69.57,9.61,Facebook,13.81,May 2023
2023-05-27,1790,42,16,152,2.35,38.1,3.62,Facebook,9.5,May 2023
2023-05-29,3315,20,7,239,0.6,35.0,11.95,Facebook,34.14,May 2023
2023-06-01,1746,25,10,145,1.43,40.0,5.8,Facebook,14.5,June 2023
2023-06-03,2131,19,18,145,0.89,94.74,7.63,Facebook,8.06,June 2023
2023-06-03,1788,21,5,139,1.17,23.81,6.62,Facebook,27.8,June 2023
2023-06-04,1069,61,17,94,5.71,27.87,1.54,Facebook,5.53,June 2023
2023-06-04,1344,64,15,174,4.76,23.44,2.72,Facebook,11.6,June 2023
2023-06-05,2406,66,12,85,2.74,18.18,1.29,Facebook,7.08,June 2023
2023-06-07,2320,70,16,102,3.02,22.86,1.46,Facebook,6.38,June 2023
2023-06-07,3311,34,17,238,1.03,50.0,7.0,Facebook,14.0,June 2023
2023-06-08,1062,65,9,133,6.12,13.85,2.05,Facebook,14.78,June 2023
2023-06-08,2408,41,15,134,1.7,36.59,3.27,Facebook,8.93,June 2023
2023-06-09,1617,15,6,177,0.93,40.0,11.8,Facebook,29.5,June 2023
2023-06-09,2184,40,12,81,1.83,30.0,2.02,Facebook,6.75,June 2023
2023-06-13,2257,20,19,179,0.89,95.0,8.95,Facebook,9.42,June 2023
2023-06-14,1632,66,15,64,4.04,22.73,0.97,Facebook,4.27,June 2023
2023-06-15,2504,38,8,126,1.52,21.05,3.32,Facebook,15.75,June 2023
2023-06-16,1588,20,8,144,1.26,40.0,7.2,Facebook,18.0,June 2023
2023-06-16,1464,31,10,221,2.12,32.26,7.13,Facebook,22.1,June 2023
2023-06-16,3230,35,11,89,1.08,31.43,2.54,Facebook,8.09,June 2023
2023-06-17,1646,49,5,227,2.98,10.2,4.63,Facebook,45.4,June 2023
2023-06-21,1265,67,16,138,5.3,23.88,2.06,Facebook,8.62,June 2023
2023-07-01,1054,20,12,217,1.9,60.0,10.85,Facebook,18.08,July 2023
2023-07-01,2856,17,5,88,0.6,29.41,5.18,Facebook,17.6,July 2023
2023-07-02,1250,56,10,144,4.48,17.86,2.57,Facebook,14.4,July 2023
2023-07-03,1963,28,6,218,1.43,21.43,7.79,Facebook,36.33,July 2023
2023-07-03,2249,17,8,187,0.76,47.06,11.0,Facebook,23.38,July 2023
2023-07-04,3273,70,18,102,2.14,25.71,1.46,Facebook,5.67,July 2023
2023-07-04,1342,65,7,77,4.84,10.77,1.18,Facebook,11.0,July 2023
2023-07-05,2830,58,18,244,2.05,31.03,4.21,Facebook,13.56,July 2023
2023-07-06,3173,68,8,110,2.14,11.76,1.62,Facebook,13.75,July 2023
2023-07-06,1170,34,15,227,2.91,44.12,6.68,Facebook,15.13,July 2023
2023-07-07,1852,41,18,223,2.21,43.9,5.44,Facebook,12.39,July 2023
2023-07-08,1753,25,18,141,1.43,72.0,5.64,Facebook,7.83,July 2023
2023-07-08,2761,62,15,162,2.25,24.19,2.61,Facebook,10.8,July 2023
2023-07-08,2872,28,11,157,0.97,39.29,5.61,Facebook,14.27,July 2023
2023-07-09,2323,53,6,149,2.28,11.32,2.81,Facebook,24.83,July 2023
2023-07-11,2185,18,15,171,0.82,83.33,9.5,Facebook,11.4,July 2023
2023-07-16,1297,17,18,231,1.31,105.88,13.59,Facebook,12.83,July 2023
2023-07-17,2366,15,16,73,0.63,106.67,4.87,Facebook,4.56,July 2023
2023-07-17,3312,18,14,141,0.54,77.78,7.83,Facebook,10.07,July 2023
2023-07-19,2276,31,19,239,1.36,61.29,7.71,Facebook,12.58,July 2023
2023-07-20,1626,39,12,225,2.4,30.77,5.77,Facebook,18.75,July 2023
2023-07-20,1312,29,11,101,2.21,37.93,3.48,Facebook,9.18,July 2023
2023-07-21,1406,31,7,106,2.2,22.58,3.42,Facebook,15.14,July 2023
2023-07-23,2060,26,5,147,1.26,19.23,5.65,Facebook,29.4,July 2023
2023-07-23,3257,28,6,135,0.86,21.43,4.82,Facebook,22.5,July 2023
2023-07-24,2027,41,12,246,2.02,29.27,6.0,Facebook,20.5,July 2023
2023-07-24,2972,30,9,64,1.01,30.0,2.13,Facebook,7.11,July 2023
2023-07-24,2105,23,11,125,1.09,47.83,5.43,Facebook,11.36,July 2023
2023-07-25,3170,22,17,211,0.69,77.27,9.59,Facebook,12.41,July 2023
2023-07-25,1810,61,13,240,3.37,21.31,3.93,Facebook,18.46,July 2023
2023-07-25,1069,70,17,203,6.55,24.29,2.9,Facebook,11.94,July 2023
2023-07-25,2115,63,13,231,2.98,20.63,3.67,Facebook,17.77,July 2023
2023-07-26,1740,17,13,177,0.98,76.47,10.41,Facebook,13.62,July 2023
2023-07-27,2982,72,18,183,2.41,25.0,2.54,Facebook,10.17,July 2023
2023-07-27,1573,42,9,225,2.67,21.43,5.36,Facebook,25.0,July 2023
2023-07-27,1135,51,13,207,4.49,25.49,4.06,Facebook,15.92,July 2023
2023-07-28,1638,62,10,82,3.79,16.13,1.32,Facebook,8.2,July 2023
2023-07-28,2170,61,6,147,2.81,9.84,2.41,Facebook,24.5,July 2023
2023-07-29,1898,68,5,247,3.58,7.35,3.63,Facebook,49.4,July 2023
2023-07-29,1522,37,14,240,2.43,37.84,6.49,Facebook,17.14,July 2023
2023-07-30,1752,66,16,111,3.77,24.24,1.68,Facebook,6.94,July 2023
2023-07-30,3056,20,15,152,0.65,75.0,7.6,Facebook,10.13,July 2023
2023-07-30,1095,56,16,225,5.11,28.57,4.02,Facebook,14.06,July 2023
2023-07-31,2385,35,12,203,1.47,34.29,5.8,Facebook,16.92,July 2023
2023-08-02,2657,52,14,181,1.96,26.92,3.48,Facebook,12.93,August 2023
2023-08-02,1462,44,17,195,3.01,38.64,4.43,Facebook,11.47,August 2023
2023-08-05,1945,55,5,202,2.83,9.09,3.67,Facebook,40.4,August 2023
2023-08-05,1949,42,12,154,2.15,28.57,3.67,Facebook,12.83,August 2023
2023-08-08,2807,60,13,164,2.14,21.67,2.73,Facebook,12.62,August 2023
2023-08-12,1747,40,14,153,2.29,35.0,3.82,Facebook,10.93,August 2023
2023-08-12,2152,42,11,173,1.95,26.19,4.12,Facebook,15.73,August 2023
2023-08-14,3262,38,6,98,1.16,15.79,2.58,Facebook,16.33,August 2023
2023-08-14,2758,42,10,246,1.52,23.81,5.86,Facebook,24.6,August 2023
2023-08-14,1273,35,16,179,2.75,45.71,5.11,Facebook,11.19,August 2023
2023-08-15,1548,24,17,90,1.55,70.83,3.75,Facebook,5.29,August 2023
2023-08-17,2798,32,12,216,1.14,37.5,6.75,Facebook,18.0,August 2023
2023-08-17,3090,73,18,235,2.36,24.66,3.22,Facebook,13.06,August 2023
2023-08-20,2078,49,13,123,2.36,26.53,2.51,Facebook,9.46,August 2023
2023-08-21,2188,46,17,198,2.1,36.96,4.3,Facebook,11.65,August 2023
2023-08-21,1357,50,12,119,3.68,24.0,2.38,Facebook,9.92,August 2023
2023-08-22,2495,42,13,189,1.68,30.95,4.5,Facebook,14.54,August 2023
2023-08-23,1862,61,6,249,3.28,9.84,4.08,Facebook,41.5,August 2023
2023-08-25,3287,27,14,225,0.82,51.85,8.33,Facebook,16.07,August 2023
2023-08-26,2058,42,12,205,2.04,28.57,4.88,Facebook,17.08,August 2023
2023-08-27,1460,58,9,80,3.97,15.52,1.38,Facebook,8.89,August 2023
2023-08-29,2256,39,7,229,1.73,17.95,5.87,Facebook,32.71,August 2023
2023-08-30,1086,60,17,74,5.52,28.33,1.23,Facebook,4.35,August 2023
2023-08-30,2079,44,14,218,2.12,31.82,4.95,Facebook,15.57,August 2023
2023-08-30,3117,23,5,143,0.74,21.74,6.22,Facebook,28.6,August 2023
2023-09-01,3024,43,11,171,1.42,25.58,3.98,Facebook,15.55,September 2023
2023-09-01,2685,48,15,155,1.79,31.25,3.23,Facebook,10.33,September 2023
2023-09-06,2568,43,18,109,1.67,41.86,2.53,Facebook,6.06,September 2023
2023-09-06,1446,65,15,136,4.5,23.08,2.09,Facebook,9.07,September 2023
2023-09-07,3090,35,19,249,1.13,54.29,7.11,Facebook,13.11,September 2023
2023-09-08,1437,25,5,249,1.74,20.0,9.96,Facebook,49.8,September 2023
2023-09-08,2839,48,7,100,1.69,14.58,2.08,Facebook,14.29,September 2023
2023-09-10,1061,20,9,122,1.89,45.0,6.1,Facebook,13.56,September 2023
2023-09-11,1566,42,11,82,2.68,26.19,1.95,Facebook,7.45,September 2023
2023-09-12,3151,33,16,94,1.05,48.48,2.85,Facebook,5.88,September 2023
2023-09-12,1264,22,12,183,1.74,54.55,8.32,Facebook,15.25,September 2023
2023-09-13,1452,31,5,195,2.13,16.13,6.29,Facebook,39.0,September 2023
2023-09-13,1287,20,12,78,1.55,60.0,3.9,Facebook,6.5,September 2023
2023-09-13,2076,32,10,193,1.54,31.25,6.03,Facebook,19.3,September 2023
2023-09-16,1177,71,19,68,6.03,26.76,0.96,Facebook,3.58,September 2023
2023-09-19,2091,44,19,187,2.1,43.18,4.25,Facebook,9.84,September 2023
2023-09-21,2823,22,15,151,0.78,68.18,6.86,Facebook,10.07,September 2023
2023-09-22,1565,64,7,154,4.09,10.94,2.41,Facebook,22.0,September 2023
2023-09-22,3201,72,13,158,2.25,18.06,2.19,Facebook,12.15,September 2023
2023-09-26,1170,33,15,137,2.82,45.45,4.15,Facebook,9.13,September 2023
2023-09-26,2911,16,13,180,0.55,81.25,11.25,Facebook,13.85,September 2023
2023-09-27,1821,42,13,180,2.31,30.95,4.29,Facebook,13.85,September 2023
2023-09-28,1274,18,19,117,1.41,105.56,6.5,Facebook,6.16,September 2023
2023-09-30,1731,73,15,158,4.22,20.55,2.16,Facebook,10.53,September 2023
2023-09-30,1587,51,9,78,3.21,17.65,1.53,Facebook,8.67,September 2023
2023-10-01,2562,22,7,159,0.86,31.82,7.23,Facebook,22.71,October 2023
2023-10-03,2978,39,8,180,1.31,20.51,4.62,Facebook,22.5,October 2023
2023-10-03,1544,48,9,149,3.11,18.75,3.1,Facebook,16.56,October 2023
2023-10-04,2895,62,16,239,2.14,25.81,3.85,Facebook,14.94,October 2023
2023-10-04,3080,62,17,72,2.01,27.42,1.16,Facebook,4.24,October 2023
2023-10-07,1550,70,13,214,4.52,18.57,3.06,Facebook,16.46,October 2023
2023-10-08,2686,38,19,124,1.41,50.0,3.26,Facebook,6.53,October 2023
2023-10-09,1791,16,5,247,0.89,31.25,15.44,Facebook,49.4,October 2023
2023-10-10,2780,49,13,197,1.76,26.53,4.02,Facebook,15.15,October 2023
2023-10-10,3027,61,18,245,2.02,29.51,4.02,Facebook,13.61,October 2023
2023-10-12,2562,20,15,103,0.78,75.0,5.15,Facebook,6.87,October 2023
2023-10-13,2545,66,6,93,2.59,9.09,1.41,Facebook,15.5,October 2023
2023-10-13,1708,28,19,163,1.64,67.86,5.82,Facebook,8.58,October 2023
2023-10-14,3182,35,10,75,1.1,28.57,2.14,Facebook,7.5,October 2023
2023-10-14,2191,30,12,244,1.37,40.0,8.13,Facebook,20.33,October 2023
2023-10-15,2601,63,5,242,2.42,7.94,3.84,Facebook,48.4,October 2023
2023-10-15,2533,62,9,205,2.45,14.52,3.31,Facebook,22.78,October 2023
2023-10-18,1495,73,15,221,4.88,20.55,3.03,Facebook,14.73,October 2023
2023-10-20,2829,69,19,229,2.44,27.54,3.32,Facebook,12.05,October 2023
2023-10-20,3057,48,13,158,1.57,27.08,3.29,Facebook,12.15,October 2023
2023-10-20,2543,59,16,240,2.32,27.12,4.07,Facebook,15.0,October 2023
2023-10-20,1805,52,14,77,2.88,26.92,1.48,Facebook,5.5,October 2023
2023-10-21,1832,30,16,160,1.64,53.33,5.33,Facebook,10.0,October 2023
2023-10-21,2554,66,15,87,2.58,22.73,1.32,Facebook,5.8,October 2023
2023-10-22,1206,42,17,237,3.48,40.48,5.64,Facebook,13.94,October 2023
2023-10-23,2725,24,18,185,0.88,75.0,7.71,Facebook,10.28,October 2023
2023-10-24,2408,65,10,67,2.7,15.38,1.03,Facebook,6.7,October 2023
2023-10-25,1485,53,17,131,3.57,32.08,2.47,Facebook,7.71,October 2023
2023-10-27,2223,36,14,136,1.62,38.89,3.78,Facebook,9.71,October 2023
2023-10-27,1109,46,12,123,4.15,26.09,2.67,Facebook,10.25,October 2023
2023-10-27,2445,32,17,171,1.31,53.12,5.34,Facebook,10.06,October 2023
2023-10-29,1766,63,13,69,3.57,20.63,1.1,Facebook,5.31,October 2023
2023-10-29,1919,50,14,203,2.61,28.0,4.06,Facebook,14.5,October 2023
2023-10-29,2865,33,18,173,1.15,54.55,5.24,Facebook,9.61,October 2023
2023-10-30,2007,21,13,180,1.05,61.9,8.57,Facebook,13.85,October 2023
2023-10-31,2947,45,9,151,1.53,20.0,3.36,Facebook,16.78,October 2023
2023-11-01,3222,18,12,239,0.56,66.67,13.28,Facebook,19.92,November 2023
2023-11-02,2549,60,11,240,2.35,18.33,4.0,Facebook,21.82,November 2023
2023-11-04,1289,26,16,65,2.02,61.54,2.5,Facebook,4.06,November 2023
2023-11-05,2546,55,16,151,2.16,29.09,2.75,Facebook,9.44,November 2023
2023-11-07,1611,53,17,135,3.29,32.08,2.55,Facebook,7.94,November 2023
2023-11-09,2336,32,9,159,1.37,28.12,4.97,Facebook,17.67,November 2023
2023-11-11,1485,17,15,138,1.14,88.24,8.12,Facebook,9.2,November 2023
2023-11-11,1888,48,5,81,2.54,10.42,1.69,Facebook,16.2,November 2023
2023-11-11,3132,59,14,126,1.88,23.73,2.14,Facebook,9.0,November 2023
2023-11-15,1135,41,19,230,3.61,46.34,5.61,Facebook,12.11,November 2023
2023-11-15,2956,23,12,175,0.78,52.17,7.61,Facebook,14.58,November 2023
2023-11-16,2310,65,8,181,2.81,12.31,2.78,Facebook,22.62,November 2023
2023-11-16,1219,30,16,76,2.46,53.33,2.53,Facebook,4.75,November 2023
2023-11-17,2154,17,8,135,0.79,47.06,7.94,Facebook,16.88,November 2023
2023-11-18,2057,21,6,187,1.02,28.57,8.9,Facebook,31.17,November 2023
2023-11-20,3135,44,9,177,1.4,20.45,4.02,Facebook,19.67,November 2023
2023-11-21,2815,34,11,241,1.21,32.35,7.09,Facebook,21.91,November 2023
2023-11-21,2376,69,17,73,2.9,24.64,1.06,Facebook,4.29,November 2023
2023-11-22,1898,21,10,145,1.11,47.62,6.9,Facebook,14.5,November 2023
2023-11-24,2792,37,16,205,1.33,43.24,5.54,Facebook,12.81,November 2023
2023-11-25,2076,15,10,221,0.72,66.67,14.73,Facebook,22.1,November 2023
2023-11-26,1431,33,8,193,2.31,24.24,5.85,Facebook,24.12,November 2023
2023-11-27,2187,48,16,230,2.19,33.33,4.79,Facebook,14.38,November 2023
2023-11-27,2172,56,19,75,2.58,33.93,1.34,Facebook,3.95,November 2023
2023-11-30,1356,36,9,167,2.65,25.0,4.64,Facebook,18.56,November 2023
2023-12-01,2446,47,12,169,1.92,25.53,3.6,Facebook,14.08,December 2023
2023-12-02,1789,36,10,113,2.01,27.78,3.14,Facebook,11.3,December 2023
2023-12-02,2697,46,13,227,1.71,28.26,4.93,Facebook,17.46,December 2023
2023-12-03,1995,68,9,219,3.41,13.24,3.22,Facebook,24.33,December 2023
2023-12-03,2187,53,7,71,2.42,13.21,1.34,Facebook,10.14,December 2023
2023-12-05,1371,46,12,101,3.36,26.09,2.2,Facebook,8.42,December 2023
2023-12-08,2388,50,7,89,2.09,14.0,1.78,Facebook,12.71,December 2023
2023-12-12,2137,15,12,187,0.7,80.0,12.47,Facebook,15.58,December 2023
2023-12-13,2581,65,7,157,2.52,10.77,2.42,Facebook,22.43,December 2023
2023-12-13,2941,57,15,96,1.94,26.32,1.68,Facebook,6.4,December 2023
2023-12-14,2153,37,16,79,1.72,43.24,2.14,Facebook,4.94,December 2023
2023-12-14,2216,46,7,223,2.08,15.22,4.85,Facebook,31.86,December 2023
2023-12-18,2891,21,13,161,0.73,61.9,7.67,Facebook,12.38,December 2023
2023-12-20,1795,52,16,211,2.9,30.77,4.06,Facebook,13.19,December 2023
2023-12-20,3250,38,12,128,1.17,31.58,3.37,Facebook,10.67,December 2023
2023-12-20,2765,55,8,231,1.99,14.55,4.2,Facebook,28.88,December 2023
2023-12-21,1852,59,6,78,3.19,10.17,1.32,Facebook,13.0,December 2023
2023-12-21,1997,34,15,63,1.7,44.12,1.85,Facebook,4.2,December 2023
2023-12-22,2399,63,11,185,2.63,17.46,2.94,Facebook,16.82,December 2023
2023-12-22,2784,30,17,243,1.08,56.67,8.1,Facebook,14.29,December 2023
2023-12-22,3147,46,15,129,1.46,32.61,2.8,Facebook,8.6,December 2023
2023-12-27,1177,62,10,215,5.27,16.13,3.47,Facebook,21.5,December 2023
2023-12-29,1984,47,15,137,2.37,31.91,2.91,Facebook,9.13,December 2023
2023-12-30,1756,45,12,68,2.56,26.67,1.51,Facebook,5.67,December 2023
2023-12-31,1887,71,16,95,3.76,22.54,1.34,Facebook,5.94,December 2023
2024-01-01,2814,28,8,169,1.0,28.57,6.04,Facebook,21.12,January 2024
2024-01-02,2398,56,17,69,2.34,30.36,1.23,Facebook,4.06,January 2024
2024-01-03,1104,18,16,65,1.63,88.89,3.61,Facebook,4.06,January 2024
2024-01-03,3130,20,19,114,0.64,95.0,5.7,Facebook,6.0,January 2024
